task_identifier,task_app,apk,task_app_CHN,adb_home_page,goal,functional_point,difficulty_level,golden_steps,key_nodes
tencentvedio_3,tencentvedio,tencentvedio_9.01.60.30228.apk,腾讯视频,com.tencent.qqlive/.ona.activity.SplashHomeActivity,去腾讯视频查看我的下载,我的,easy,4,"{""xpath"": ['''//*[contains(@text, ""我的下载"")]  and //*[contains(@text, ""视频"")] and //*[contains(@text, ""小说"")]  ''']}"
tencentvedio_4,tencentvedio,tencentvedio_9.01.60.30228.apk,腾讯视频,com.tencent.qqlive/.ona.activity.SplashHomeActivity,去腾讯视频设置自动跳过片头片尾,设置,hard,6,"{""xpath"": ['''//*[contains(@content-desc, ""自动跳过片头片尾,，切换按钮打开"") ] and //*[contains(@content-desc, ""播放设置 , 导航栏"") ]''']}"
xiguavideo_3,xiguavideo,xiguavideo_9.6.4.apk,西瓜视频,com.ss.android.article.video/.activity.SplashActivity,在西瓜视频里面播放英雄本色,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""英雄本色"") and contains(@resource-id, ""id/a6r"")] ''']}###{""xpath"": ['''//*[contains(@text, ""英雄本色"")] and //*[contains(@text, ""暂停"")] and //*[contains(@text, ""播放"")] ''']}"
xiguavideo_4,xiguavideo,xiguavideo_9.6.4.apk,西瓜视频,com.ss.android.article.video/.activity.SplashActivity,在西瓜视频里面播放喜羊羊与灰太狼,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""喜羊羊与灰太狼"") and contains(@resource-id, ""id/a6r"")] ''']}###{""xpath"": ['''//*[contains(@text, ""喜羊羊与灰太狼"")] and //*[contains(@text, ""暂停"")] and //*[contains(@text, ""播放"")] ''']}"
xiguavideo_0,xiguavideo,xiguavideo_9.6.4.apk,西瓜视频,com.ss.android.article.video/.activity.SplashActivity,查看西瓜视频中我的账号的创作中心,我的,medium,5,"{""xpath"": ['''//*[contains(@text, ""创作中心"")] and //*[contains(@text, ""内容管理"")] and //*[contains(@text, ""数据中心"")] ''']}"
xiguavideo_1,xiguavideo,xiguavideo_9.6.4.apk,西瓜视频,com.ss.android.article.video/.activity.SplashActivity,查看西瓜视频里最多弹幕的内地喜剧电影推荐,频道,hard,7,"{""xpath"": ['''//*[contains(@text, ""电影"") and @selected=""true""] and //*[contains(@text, ""内地"") and @selected=""true""]  and //*[contains(@text, ""喜剧"") and @selected=""true""]  and //*[contains(@text, ""最多弹幕"") and @selected=""true""]   ''']}"
xiguavideo_2,xiguavideo,xiguavideo_9.6.4.apk,西瓜视频,com.ss.android.article.video/.activity.SplashActivity,查看西瓜视频里90年代最热的日本动漫推荐,频道,hard,8,"{""xpath"": ['''//*[contains(@text, ""动漫"") and @selected=""true""] and //*[contains(@text, ""日本"") and @selected=""true""]  and //*[contains(@text, ""最热"") and @selected=""true""]  and //*[contains(@text, ""90年代"") and @selected=""true""]   ''']}"
yangcong345_0,yangcong345,yangcong_7.87.0.apk,洋葱学园,com.yangcong345.android.phone/com.yangcong345.main.phone.splash.SplashActivity,去洋葱学园查看我的洋葱币,我的,medium,5,"{""xpath"": ['''//*[contains(@resource-id, ""id/myOnionCoin"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""我的洋葱币"") ])] ''']}"
yangcong345_1,yangcong345,yangcong_7.87.0.apk,洋葱学园,com.yangcong345.android.phone/com.yangcong345.main.phone.splash.SplashActivity,打开洋葱学园的公共自习室,频道,easy,4,"{""xpath"": ['''//*[contains(@text, ""公共自习室"") and contains(@class, ""android.widget.Image"")] ''']}"
yangcong345_2,yangcong345,yangcong_7.87.0.apk,洋葱学园,com.yangcong345.android.phone/com.yangcong345.main.phone.splash.SplashActivity,打开洋葱学园我的收藏查看第一条内容,我的,medium,5,"{""xpath"": ['''//*[contains(@resource-id, ""id/collectView"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""充电地图"") and contains(@resource-id, ""id/tvName"")])]''']}###{""xpath"": ['''//*[contains(@text, ""我的收藏"")  and bbox_contains_point(../@bounds,$point) ] ''']}"
yangcong345_3,yangcong345,yangcong_7.87.0.apk,洋葱学园,com.yangcong345.android.phone/com.yangcong345.main.phone.splash.SplashActivity,打开洋葱学园我的二维码,我的,easy,5,"{""xpath"": ['''//*[contains(@text, ""我的二维码"")] and //*[contains(@text, ""扫一扫上面二维码，加我洋葱好友"")]''']}"
yangcong345_4,yangcong345,yangcong_7.87.0.apk,洋葱学园,com.yangcong345.android.phone/com.yangcong345.main.phone.splash.SplashActivity,在洋葱学园中查看二元一次方程组这个知识点,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""二元一次"") and contains(@text, ""方程"") and contains(@class, ""EditText"")] ''']}"
huatu_0,huatu,huatu_7.4.350.apk,华图在线,com.huatu.handheld_huatu/.business.guide.SplashActivity,在华图在线查看2026国考备考计划,搜索,hard,7,"{""xpath"": ['''//*[contains(@text, ""备考计划"") and contains(@resource-id, ""title"")]''', '''//*[contains(@text, ""26"") and contains(@text, ""国考"") and contains(@class, ""title"")] ''']}"
huatu_1,huatu,huatu_7.4.350.apk,华图在线,com.huatu.handheld_huatu/.business.guide.SplashActivity,在华图在线中完成每日特训中的一道题,频道,medium,5,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""每日特训"") and contains(@resource-id, ""id/title"") ])] ''']}"
huatu_2,huatu,huatu_7.4.350.apk,华图在线,com.huatu.handheld_huatu/.business.guide.SplashActivity,打开一节华图在线的公务员免费课程,频道,easy,4,"{""xpath"": ['''//*[contains(@text, ""公务员"") and @selected=""true""] and //*[contains(@resource-id, ""id/clRootView"") and bbox_contains_point(@bounds,$point) ] ''']}"
huatu_3,huatu,huatu_7.4.350.apk,华图在线,com.huatu.handheld_huatu/.business.guide.SplashActivity,查看一下华图在线的刷题周报,频道,easy,3,"{""xpath"": ['''//*[contains(@class, ""ViewGroup"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""刷题周报"") and contains(@resource-id, ""id/title"") ])] ''']}"
huatu_4,huatu,huatu_7.4.350.apk,华图在线,com.huatu.handheld_huatu/.business.guide.SplashActivity,打开华图在线的图豆中心,我的,easy,4,"{""xpath"": ['''//*[contains(@resource-id, ""id/clTuDou"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""图豆中心"")  ])] ''']}"
xunfeiai_0,xunfeiai,xunfeiai_3.0.4.apk,讯飞AI学,com.iflytek.aistudyclient.parentcontrol/.MainActivity,在讯飞AI学中查看我添加了几个孩子,我的,easy,4,"{""xpath"": ['''//*[contains(@content-desc, ""孩子"")  and bbox_contains_point(@bounds,$point) and (parent::*[contains(@content-desc, ""我的家庭"")])] ''']}"
xunfeiai_1,xunfeiai,xunfeiai_3.0.4.apk,讯飞AI学,com.iflytek.aistudyclient.parentcontrol/.MainActivity,在讯飞AI学中将安徒生童话加入购物,搜索,hard,7,"{""xpath"": ['''//*[contains(@text, ""安徒生童话"")]  and //*[contains(@text, ""加入购物车"") ]''']}"
xunfeiai_2,xunfeiai,xunfeiai_3.0.4.apk,讯飞AI学,com.iflytek.aistudyclient.parentcontrol/.MainActivity,在讯飞AI学中查看线下门店,频道,easy,4,"{""xpath"": [ '''//*[contains(@content-desc, ""线下门店"") and bbox_contains_point(@bounds,$point) ]''']}"
xunfeiai_3,xunfeiai,xunfeiai_3.0.4.apk,讯飞AI学,com.iflytek.aistudyclient.parentcontrol/.MainActivity,打开讯飞AI学中“口算批改”功能,频道,easy,3,"{""xpath"": [ '''//*[contains(@content-desc, ""口算批改"") and bbox_contains_point(@bounds,$point) ]''']}"
xunfeiai_4,xunfeiai,xunfeiai_3.0.4.apk,讯飞AI学,com.iflytek.aistudyclient.parentcontrol/.MainActivity,播放讯飞AI学中“亲子关系”第一个视频,搜索,easy,5,"{""xpath"": ['''//*[contains(@content-desc, ""亲子关系"") and @selected=""true""] ''', '''//*[contains(@class, ""view.View"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@class, ""ImageView"") ])] '''  ]}"
jiakao_0,jiakao,jiakao_8.80.0.apk,驾考宝典,com.handsgo.jiakao.android/cn.mucang.android.jiakao.default,在驾考宝典中进行一次模拟考试,频道,easy,5,"{""xpath"": ['''//*[contains(@resource-id, ""center_button"") and bbox_contains_point(@bounds,$point) ] and //*[contains(@text, ""模拟考试"") and contains(@resource-id, ""center_button_name"")]''']}"
jiakao_1,jiakao,jiakao_8.80.0.apk,驾考宝典,com.handsgo.jiakao.android/cn.mucang.android.jiakao.default,帮我在驾考宝典中查找距我3km内的驾校,搜索,medium,5,"{""xpath"": ['''//*[contains(@text, ""3 km"") and contains(@resource-id, ""id/tv_near"") ] ''']}"
jiakao_2,jiakao,jiakao_8.80.0.apk,驾考宝典,com.handsgo.jiakao.android/cn.mucang.android.jiakao.default,给驾考宝典中社区第一条帖子点赞,社区,easy,4,"{""xpath"": ['''//*[contains(@text, ""社区"") and contains(@resource-id, ""id/tab_strip_title"") and @selected=""true""] and //*[contains(@class, ""LinearLayout"") and bbox_contains_point(@bounds,$point) and (child::*[contains(@resource-id, ""id/zan_count_tv"") ])]''']}"
jiakao_3,jiakao,jiakao_8.80.0.apk,驾考宝典,com.handsgo.jiakao.android/cn.mucang.android.jiakao.default,打开驾考宝典中最近学习的第一条课程,我的,easy,5,"{""xpath"": ['''//*[contains(@text, ""我的课程"") and contains(@resource-id, ""id/title"")] ''']}"
jiakao_4,jiakao,jiakao_8.80.0.apk,驾考宝典,com.handsgo.jiakao.android/cn.mucang.android.jiakao.default,打开驾考宝典里的科二直播教学,频道,easy,4,"{""xpath"": ['''//*[contains(@text, ""科目二"") and contains(@resource-id, ""id/tv_label_subject"")] and //*[contains(@text, ""更多直播"")] ''']}"
zuoyebang_0,zuoyebang,zuoyebang_14.30.0.apk,作业帮,com.baidu.homework/.activity.init.InitActivity,去作业帮查找“中考作文感恩”,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""中考"") and contains(@text, ""作文"") and contains(@text, ""感恩"") and contains(@class, ""EditText"")] ''']}"
zuoyebang_1,zuoyebang,zuoyebang_14.30.0.apk,作业帮,com.baidu.homework/.activity.init.InitActivity,去作业帮查找圆锥曲线,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""圆锥曲线"") and contains(@class, ""EditText"")] ''']}"
zuoyebang_2,zuoyebang,zuoyebang_14.30.0.apk,作业帮,com.baidu.homework/.activity.init.InitActivity,去作业帮找一篇环境保护的英语作文,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""环境保护"") and contains(@class, ""EditText"")] and //*[contains(@text, ""英语"") or contains(@class, ""英文"")] ''']}"
zuoyebang_3,zuoyebang,zuoyebang_14.30.0.apk,作业帮,com.baidu.homework/.activity.init.InitActivity,去作业帮查看口算PK的全国PK榜单,频道,easy,5,"{""xpath"": ['''//*[contains(@text, ""全国榜"") ] and //*[contains(@text, ""个人榜"")] and //*[contains(@text, ""城市榜"")] and //*[contains(@text, ""数学"")] ''']}"
zuoyebang_4,zuoyebang,zuoyebang_14.30.0.apk,作业帮,com.baidu.homework/.activity.init.InitActivity,去作业帮将我的地区和年级设置为合肥市初一,我的,hard,9,"{""xpath"": ['''//*[contains(@text, ""合肥市"") and contains(@class, ""TextView"")] and //*[contains(@text, ""初一"") and contains(@class, ""TextView"")] ''']}"
wukong_0,wukong,wukong_13.0.0.apk,悟空浏览器,com.cat.readall/.activity.BrowserMainActivity,在悟空浏览器中查看天气预报,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""天气"") and contains(@text, ""搜索"")] ''']}"
wukong_1,wukong,wukong_13.0.0.apk,悟空浏览器,com.cat.readall/.activity.BrowserMainActivity,在悟空浏览器中搜索北京到上海的距离,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""北京"") and contains(@text, ""上海"") and contains(@text, ""搜索"") and (contains(@text, ""距离"") or contains(@text, ""多远"") or contains(@text, ""公里"") ) ] ''']}"
wukong_2,wukong,wukong_13.0.0.apk,悟空浏览器,com.cat.readall/.activity.BrowserMainActivity,在悟空浏览器中搜一下今天是农历几号,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""今天"") and contains(@text, ""农历"") and contains(@text, ""搜索"")] ''']}"
wukong_3,wukong,wukong_13.0.0.apk,悟空浏览器,com.cat.readall/.activity.BrowserMainActivity,打开悟空浏览器清除缓存,设置,medium,6,"{""xpath"": ['''//*[contains(@class, ""LinearLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""清除缓存"")  ])]''' ,  '''//*[contains(@text, ""确定"")  and bbox_contains_point(@bounds,$point) ] ''' ]}###{""xpath"": ['''//*[contains(@class, ""LinearLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""清除缓存"")  ])]''' ,  '''//*[contains(@text, ""清理"") ] and //*[contains(@text, ""缓存文件"") ] ''' ]}"
wukong_4,wukong,wukong_13.0.0.apk,悟空浏览器,com.cat.readall/.activity.BrowserMainActivity,在悟空浏览器中打开完结榜排名第一的免费小说,频道,medium,6,"{""xpath"": [''' //*[contains(@text, ""小说"") and @selected=""true""]  and //*[contains(@text, ""完结榜"") and bbox_contains_point(@bounds,$point)] ''' ,   '''//*[contains(@resource-id, ""id/csf"") ] and //*[contains(@resource-id, ""id/f1t"")  ] ''' ]}"
icredit_0,icredit,icredit_19.2.0.apk,企查查,com.android.icredit/.ui.SplashActivity,在企查查的全球企业中搜一下FACEBOOK,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""全球企业"")] and //*[contains(@text, ""FACEBOOK"") and contains(@class, ""EditText"")] ''']}"
icredit_1,icredit,icredit_19.2.0.apk,企查查,com.android.icredit/.ui.SplashActivity,看一下企查查里我的优惠券,我的,easy,4,{"xpath": ['''//*[@text="优惠券"] and //*[@text="使用须知"] ''']}
icredit_2,icredit,icredit_19.2.0.apk,企查查,com.android.icredit/.ui.SplashActivity,在企查查的查看腾讯的股东信息,搜索,hard,9,"{""xpath"": [ '''//*[contains(@text, ""腾讯"") and contains(@class, ""EditText"")] ''' ,  '''//*[contains(@text, ""股东信息"") and following-sibling::*[contains(@text, ""历史股东信息"")] ]''']}###{""xpath"": [ '''//*[contains(@text, ""腾讯"") and contains(@class, ""EditText"")] ''' , '''//*[@text=""股东""] and //*[@text=""人员""]''']}"
icredit_3,icredit,icredit_19.2.0.apk,企查查,com.android.icredit/.ui.SplashActivity,在企查查的查看小米的工商信息,搜索,hard,9,"{""xpath"": [ '''//*[contains(@text, ""小米"") and contains(@class, ""EditText"")] ''' ,  '''//*[@text=""工商信息""] or //*[@text=""工商""]''']}"
icredit_4,icredit,icredit_19.2.0.apk,企查查,com.android.icredit/.ui.SplashActivity,在企查查里查一下张伟是不是失信被执行人,搜索,hard,6,"{""xpath"": [ '''//*[contains(@text, ""张伟"") and contains(@class, ""EditText"")] ''' ,  '''//*[@text=""失信自然人"" and following-sibling::*[contains(@text, ""失信企业"")] ]''']}"
workschedule_0,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,在排班日历中设置当天19点的白班轮班闹钟,频道,hard,10,"{""xpath"": ['''//*[contains(@text, ""当天"")] and //*[contains(@text, ""班次"") and contains(@text, ""白班"")] and //*[contains(@content-desc, ""保存"") and bbox_contains_point(@bounds,$point)]''','''//*[contains(@text, ""19:00"") and contains(@text, ""白班"")] ''']}"
workschedule_1,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,关闭排班日历中的班次推送提醒,设置,easy,4,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""false"" and (parent::*[contains(@text, ""班次推送提醒"")])]''']}"
workschedule_2,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,在排班日历中将周一设置为每周首日,设置,medium,5,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""true"" and (parent::*[contains(@text, ""周一为每周首日"")])]''']}"
workschedule_3,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,在排班日历中打开我的排班表分享页面,我的,easy,4,"{""xpath"": ['''//*[contains(@text, ""我的班次表"")] and //*[contains(@text, ""分享"")] ''']}"
workschedule_4,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,在排班日历中设置工作日早上9点的闹铃,频道,hard,12,"{""xpath"": [ '''//*[contains(@text, ""普通闹钟"")  and bbox_contains_point(@bounds,$point) ] '''  , '''//*[contains(@text, ""工作日"")  and bbox_contains_point(@bounds,$point) ] '''  , '''//*[contains(@content-desc, ""保存"") and bbox_contains_point(@bounds,$point)]''']}"
netease_0,netease,netease_7.23.1.apk,网易邮箱,com.netease.mobimail/com.netease.mail.biz.main.DefaultSplashActivity,在网易邮箱中查看一下我的未读消息,消息,easy,3,"{""xpath"": ['''//*[contains(@text, ""未读"") and bbox_contains_point(@bounds,$point) ]''']}"
netease_1,netease,netease_7.23.1.apk,网易邮箱,com.netease.mobimail/com.netease.mail.biz.main.DefaultSplashActivity,打开网易邮箱中的已删除页面,频道,easy,4,"{""xpath"": ['''//*[contains(@text, ""已删除"") and @selected=""true""] ''']}"
netease_2,netease,netease_7.23.1.apk,网易邮箱,com.netease.mobimail/com.netease.mail.biz.main.DefaultSplashActivity,打开网易邮箱中的AI工具箱,频道,easy,4,"{""xpath"": ['''//*[contains(@class, ""FrameLayout"" ) and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""AI工具箱"") ])] ''']}"
netease_3,netease,netease_7.23.1.apk,网易邮箱,com.netease.mobimail/com.netease.mail.biz.main.DefaultSplashActivity,打开网易邮箱中的邮件追踪功能,频道,easy,4,"{""xpath"": ['''//*[contains(@class, ""FrameLayout"" ) and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""邮件追踪"") ])] ''']}"
netease_4,netease,netease_7.23.1.apk,网易邮箱,com.netease.mobimail/com.netease.mail.biz.main.DefaultSplashActivity,打开网易邮箱的扫一扫功能,频道,easy,3,"{""xpath"": ['''//*[contains(@text, ""扫二维码"") and contains(@resource-id, ""id/tv_qr_code"")] ''']}"
kdweibo_0,kdweibo,kdweibo_10.8.12.apk,云之家,com.kdweibo.client/com.kdweibo.android.ui.activity.StartActivity,帮我查看云之家已处理的待审批事项,我的,medium,5,"{""xpath"": ['''//*[contains(@text, ""已处理"") and contains(@resource-id, ""title"")] ''']}"
kdweibo_1,kdweibo,kdweibo_10.8.12.apk,云之家,com.kdweibo.client/com.kdweibo.android.ui.activity.StartActivity,帮我在云之家搜索姓李的联系人,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""李"") and contains(@resource-id, ""id/yzj_search_editext"")] ''']}"
kdweibo_2,kdweibo,kdweibo_10.8.12.apk,云之家,com.kdweibo.client/com.kdweibo.android.ui.activity.StartActivity,帮我修改云之家的工作状态为忙碌中,设置,medium,5,"{""xpath"": ['''//*[contains(@class, ""LinearLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""忙碌中"") and contains(@resource-id, ""id/contact_status_item_content"") ])]''']}"
kdweibo_3,kdweibo,kdweibo_10.8.12.apk,云之家,com.kdweibo.client/com.kdweibo.android.ui.activity.StartActivity,帮我筛选一下云之家的未读消息,消息,medium,5,"{""xpath"": ['''//*[contains(@text, ""未读消息"") and contains(@resource-id, ""id/titlebar_btn_title"")] ''']}"
kdweibo_4,kdweibo,kdweibo_10.8.12.apk,云之家,com.kdweibo.client/com.kdweibo.android.ui.activity.StartActivity,查看我在云之家的工作汇报记录,我的,easy,3,"{""xpath"": ['''//*[contains(@text, ""工作汇报"") and contains(@resource-id, ""id/tv_title"")] ''']}"
mobilemcloud_0,mobilemcloud,mobilemcloud_12.1.0.apk,中国移动云盘,com.chinamobile.mcloud/.client.ui.logo.LogoActivity,我想加入中国移动云盘的影视风向标,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""影视风向标"") and contains(@resource-id, ""tv_name"")] ''']}"
mobilemcloud_1,mobilemcloud,mobilemcloud_12.1.0.apk,中国移动云盘,com.chinamobile.mcloud/.client.ui.logo.LogoActivity,我想在中国移动云盘上看《夺嫡》这本书，请帮我打开,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""详情"") and contains(@resource-id, ""tv_small_routine_title_left"")]  and //*[contains(@text, ""夺嫡"")] and //*[contains(@text, ""开始阅读"")] ''']}"
mobilemcloud_2,mobilemcloud,mobilemcloud_12.1.0.apk,中国移动云盘,com.chinamobile.mcloud/.client.ui.logo.LogoActivity,我想查看中国移动云盘运动健康相关内容,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""全民健身"") and contains(@resource-id, ""tv_tab_title"")] ''']}"
mobilemcloud_3,mobilemcloud,mobilemcloud_12.1.0.apk,中国移动云盘,com.chinamobile.mcloud/.client.ui.logo.LogoActivity,查看中国移动云盘内我的个人云空间已使用了多少内存,我的,easy,4,"{""xpath"": ['''//*[contains(@text, ""我的空间"") and contains(@resource-id, ""tv_small_routine_title_left"")]   ''']}"
mobilemcloud_4,mobilemcloud,mobilemcloud_12.1.0.apk,中国移动云盘,com.chinamobile.mcloud/.client.ui.logo.LogoActivity,查看中国移动云盘里有哪些AI工具,我的,easy,4,"{""xpath"": ['''//*[contains(@text, ""AI工具"") and contains(@resource-id, ""id/tv_title"")] and //*[contains(@text, ""图片创意"")] ''']}"
camscanner_0,camscanner,camscanner_6.91.5.apk,扫描全能王,com.intsig.camscanner/.mainmenu.mainactivity.MainActivity,我想在扫描全能王中开启文档备份,设置,medium,5,"{""xpath"": ['''//*[contains(@text, ""文档备份"") and contains(@resource-id, ""title"")] ''']}"
camscanner_1,camscanner,camscanner_6.91.5.apk,扫描全能王,com.intsig.camscanner/.mainmenu.mainactivity.MainActivity,帮我打开扫描全能王的新消息通知,消息,hard,8,"{""xpath"": ['''//*[contains(@resource-id, ""id/checkbox"") and @checkable=""true"" and @checked=""true"" and preceding-sibling::*[contains(@text, ""新消息通知"")] ]''']}"
camscanner_2,camscanner,camscanner_6.91.5.apk,扫描全能王,com.intsig.camscanner/.mainmenu.mainactivity.MainActivity,我想查看如何添加扫描全能王的小组件到桌面,设置,medium,5,"{""xpath"": ['''//*[contains(@text, ""添加小组件"")]  and //*[contains(@text, ""一键开启文档扫描"")]  ''']}"
camscanner_3,camscanner,camscanner_6.91.5.apk,扫描全能王,com.intsig.camscanner/.mainmenu.mainactivity.MainActivity,在扫描全能王中编辑最近的一个文档，左转90度。,频道,hard,7,"{""xpath"": ['''//*[contains(@resource-id, ""id/itb_turn_left"") and bbox_contains_point(@bounds,$point) ]''', '''//*[contains(@resource-id, ""id/iv_sub_page_confirm"") and bbox_contains_point(@bounds,$point) ]''']}"
camscanner_4,camscanner,camscanner_6.91.5.apk,扫描全能王,com.intsig.camscanner/.mainmenu.mainactivity.MainActivity,在扫描全能王中将最近一个文档重命名为“临时文档1”,频道,hard,6,"{""xpath"": ['''//*[contains(@text, ""临时文档1"") and contains(@resource-id, ""id/tv_edit_doc_title"")] and //*[contains(@resource-id, ""id/tvConfirm"") and bbox_contains_point(@bounds,$point) ] ''']}"
weread_0,weread,weread_9.3.4.apk ,微信读书,com.tencent.weread/.LauncherActivity,在微信读书开始阅读《钢铁是怎样炼成的》这本书,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""钢铁是怎样炼成的"") and contains(@resource-id, ""bookName"")] and //*[contains(@content-desc, ""阅"") and contains(@content-desc, ""读"")  and bbox_contains_point(@bounds,$point)]''']}"
weread_1,weread,weread_9.3.4.apk ,微信读书,com.tencent.weread/.LauncherActivity,去微信读书查看一下本周的阅读时长分布,我的,hard,6,"{""xpath"": ['''//*[contains(@text, ""我的阅读"") ] and //*[contains(@content-desc, ""周"") and contains(@resource-id, ""SegmentedControlItem"") and bbox_contains_point(@bounds,$point) ]  '''  ]}"
weread_2,weread,weread_9.3.4.apk ,微信读书,com.tencent.weread/.LauncherActivity,把微信读书里Top200总榜排名第一的书加入书架,频道,hard,7,"{""xpath"": ['''//*[contains(@text, ""用户最喜爱的书籍"") ] and //*[contains(@text, ""总榜"")  ] ''',  '''//*[contains(@content-desc, ""加入书架"") and contains(@resource-id, ""BookDetail-Footer-AddBookshelfButton"") and bbox_contains_point(@bounds,$point) ]''' ]}"
weread_3,weread,weread_9.3.4.apk ,微信读书,com.tencent.weread/.LauncherActivity,去微信读书把红楼梦加入书架,搜索,medium,6,"{""xpath"": [  ''' //*[contains(@text, ""红楼梦"") and contains(@resource-id, ""id_bookName"") ] and   //*[contains(@content-desc, ""加入书架"") and contains(@resource-id, ""BookDetail-Footer-AddBookshelfButton"") and bbox_contains_point(@bounds,$point) ]''' ]}"
weread_4,weread,weread_9.3.4.apk ,微信读书,com.tencent.weread/.LauncherActivity,把微信读书里我的书架清空,书架,medium,5,"{""xpath"": ['''  //*[contains(@text, ""取消全选"") and contains(@resource-id, ""id/home_shelf_select_all"") ]  and //*[contains(@resource-id, ""id/home_shelf_toolbar_delete"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""移出书架"") ])]''']}"
dmzj_0,dmzj,dmzj_3.9.14.apk,动漫之家,com.dmzj.manhua/.ui.LaunchInterceptorActivity,帮我推荐动漫之家冒险题材的漫画,频道,easy,4,"{""xpath"": ['''//*[contains(@text, ""分类"") and contains(@resource-id, ""title"")] and //*[contains(@text, ""冒险"") and contains(@resource-id, ""op_txt"")]''']}"
dmzj_1,dmzj,dmzj_3.9.14.apk,动漫之家,com.dmzj.manhua/.ui.LaunchInterceptorActivity,我想在动漫之家找我最新的一条评论,我的,easy,4,"{""xpath"": ['''//*[contains(@text, ""我的评论"") and contains(@resource-id, ""title"")] ''']}"
dmzj_2,dmzj,dmzj_3.9.14.apk,动漫之家,com.dmzj.manhua/.ui.LaunchInterceptorActivity,我想看看动漫之家的轻小说《问题儿童都来自异世界》,搜索,medium,7,"{""xpath"": ['''//*[contains(@text, ""问题儿童都来自异世界"") and contains(@resource-id, ""id/title"")] and //*[contains(@text, ""开始阅读"") and contains(@resource-id, ""id/txt_read"")] ''']}"
dmzj_3,dmzj,dmzj_3.9.14.apk,动漫之家,com.dmzj.manhua/.ui.LaunchInterceptorActivity,我想找到我在动漫之家最新下载的一部漫画,我的,easy,4,"{""xpath"": ['''//*[contains(@text, ""我的下载"") and contains(@resource-id, ""title"")] ''']}"
dmzj_4,dmzj,dmzj_3.9.14.apk,动漫之家,com.dmzj.manhua/.ui.LaunchInterceptorActivity,我想看一本很多人吐槽的漫画，帮我在动漫之家推荐一下,频道,medium,5,"{""xpath"": ['''//*[contains(@resource-id, ""id/title"")] and //*[contains(@resource-id, ""id/txt_subscribe"")] and //*[contains(@text, ""开始阅读"") and contains(@resource-id, ""id/txt_read"")] ''']}"
fcatfreader_0,fcatfreader,fcatfreader_7.76.apk,七猫免费小说,com.kmxs.reader/com.km.app.home.view.LoadingActivity,我想在七猫免费小说中打开听书热播排行榜,频道,medium,5,"{""xpath"": ['''//*[contains(@text,  ""热播榜"") and @selected=""true"" ]''']}"
fcatfreader_1,fcatfreader,fcatfreader_7.76.apk,七猫免费小说,com.kmxs.reader/com.km.app.home.view.LoadingActivity,我想看一下七猫免费小说的完结榜排名第一的都市小说,频道,medium,5,"{""xpath"": ['''//*[contains(@text,  ""完结榜"") and @selected=""true"" ] and //*[contains(@text,  ""都市"") and @selected=""true"" ] ''']}"
