task_id,task_identifier,task_app,task_app_CHN,adb_home_page,功能点,"level（easy步数少<5步，是APP的基础操作,主页一眼就能看到，medium步数较多,但每一步都能直接看到。或是需要探索一下但步数特别少(<4)，hard经过的一些功能需要探索才能发现）",golden_steps,goal,key_nodes,Reset,,,,,,,,,
,rimet_long_0,rimet,钉钉,com.alibaba.android.rimet/.biz.LaunchHomeActivity,消息,long-horizon,22,在钉钉随机选择1位好友发起一个群聊，如果没有好友就只选择自己发起群聊。群聊名字叫“干饭人”，我的本群昵称为“乐乐”，发布一条群公告为“进群改名”。,"{""xpath"": ['''//*[contains(@text, ""选择联系人"") ]  and //*[contains(@text, ""发起群聊"") and bbox_contains_point(@bounds,$point) ]''' ,  '''  //*[contains(@text, ""群名称"")] and //*[contains(@text, ""干饭人"")]  ''' , '''  //*[contains(@text, ""我在本群的昵称"")]  and //*[contains(@text, ""乐乐"")] '''  , '''//*[contains(@text, ""新建群公告"") ]  and //*[contains(@text, ""下一步"") and bbox_contains_point(@bounds,$point) ]''' ]}",,,,,,,,,,
,rimet_long_1,rimet,钉钉,com.alibaba.android.rimet/.biz.LaunchHomeActivity,搜索,long-horizon,24,"在钉钉先后搜索“收到”,“好的”,“笑哭”的表情。每搜索一次，都从结果中挑选一个表情，并发送给我自己。","{""xpath"": [ ''' //*[contains(@text, ""表情"") ] and  //*[contains(@text, ""收到"") ]  ''' , '''//*[contains(@text, ""选择联系人"") ]  and //*[contains(@text, ""我"") and bbox_contains_point(../../../@bounds,$point) ]''', '''//*[contains(@text, ""发送给"") ]  and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ]'''  , '''   //*[contains(@text, ""表情"") ] and  //*[contains(@text, ""好的"") ]  ''' , '''//*[contains(@text, ""选择联系人"") ]  and //*[contains(@text, ""我"") and bbox_contains_point(../../../@bounds,$point) ]''', '''//*[contains(@text, ""发送给"") ]  and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ]'''  ,  '''   //*[contains(@text, ""表情"") ] and  //*[contains(@text, ""笑哭"") ]  ''' , '''//*[contains(@text, ""选择联系人"") ]  and //*[contains(@text, ""我"") and bbox_contains_point(../../../@bounds,$point) ]''', '''//*[contains(@text, ""发送给"") ]  and //*[contains(@text, ""发送"") and bbox_contains_point(@bounds,$point) ]'''  ,]}",,,,,,,,,,
,rimet_long_2,rimet,钉钉,com.alibaba.android.rimet/.biz.LaunchHomeActivity,频道,long-horizon,27,在钉钉里添加一个日程，标题为“吃早饭”，时间为早上的9点到9点半，设置每个工作日重复这个日程,"{""xpath"": [  '''//*[contains(@text, ""09:00"") ]  and //*[contains(@text, ""完成"") and bbox_contains_point(@bounds,$point) ]''', '''//*[contains(@text, ""09:30"") ]  and //*[contains(@text, ""完成"") and bbox_contains_point(@bounds,$point) ]''', '''//*[contains(@text, ""重复日程"") ]  and //*[contains(@text, ""完成"") and bbox_contains_point(../@bounds,$point) ]'''  , '''//*[contains(@text, ""自定义"") ]  and //*[contains(@text, ""完成"") and bbox_contains_point(../@bounds,$point) ]''' , '''//*[contains(@text, ""新建日程"") ]  and //*[contains(@text, ""完成"") and bbox_contains_point(../@bounds,$point) ]''' ]}",,,,,,,,,,
,rimet_long_3,rimet,钉钉,com.alibaba.android.rimet/.biz.LaunchHomeActivity,消息,long-horizon,21,"去钉钉向钉钉小秘书发送“早上好”，并先后搜索“薯条”,“汉堡”,“蛋挞”,“饼干”,“巧克力”的表情包，各选1个发送给它","{""xpath"": [ ''' //*[contains(@text, ""钉钉小秘书"") and contains(@resource-id, ""id/tv_title"") ] and  //*[contains(@text, ""早上好"") ]  ''' , ''' //*[contains(@text, ""钉钉小秘书"") and contains(@resource-id, ""id/tv_title"") ] and  //*[contains(@text, ""薯条"") and contains(@resource-id, ""emotion_search"") ]  and //*[contains(@resource-id, ""iv_image"") and bbox_contains_point(@bounds,$point) ] '''  , ''' //*[contains(@text, ""钉钉小秘书"") and contains(@resource-id, ""id/tv_title"") ] and  //*[contains(@text, ""汉堡"") and contains(@resource-id, ""emotion_search"") ]  and //*[contains(@resource-id, ""iv_image"") and bbox_contains_point(@bounds,$point) ] '''   , ''' //*[contains(@text, ""钉钉小秘书"") and contains(@resource-id, ""id/tv_title"") ] and  //*[contains(@text, ""蛋挞"") and contains(@resource-id, ""emotion_search"") ]  and //*[contains(@resource-id, ""iv_image"") and bbox_contains_point(@bounds,$point) ] '''   , ''' //*[contains(@text, ""钉钉小秘书"") and contains(@resource-id, ""id/tv_title"") ] and  //*[contains(@text, ""饼干"") and contains(@resource-id, ""emotion_search"") ]  and //*[contains(@resource-id, ""iv_image"") and bbox_contains_point(@bounds,$point) ] '''   , ''' //*[contains(@text, ""钉钉小秘书"") and contains(@resource-id, ""id/tv_title"") ] and  //*[contains(@text, ""巧克力"") and contains(@resource-id, ""emotion_search"") ]  and //*[contains(@resource-id, ""iv_image"") and bbox_contains_point(@bounds,$point) ] '''  ]}",,,,,,,,,,
,rimet_long_4,rimet,钉钉,com.alibaba.android.rimet/.biz.LaunchHomeActivity,消息,long-horizon,21,在钉钉随机选择1位好友发起一个群聊，如果没有好友就只选择自己发起群聊。群聊名字叫“平安喜乐”，打开置顶会话和消息免打扰，发送一条消息“有人吗”。,"{""xpath"": ['''//*[contains(@text, ""选择联系人"") ]  and //*[contains(@text, ""发起群聊"") and bbox_contains_point(@bounds,$point) ]''' ,  '''  //*[contains(@text, ""群名称"")] and //*[contains(@text, ""平安喜乐"")]  ''' , '''  //*[contains(@text, ""置顶会话"")  and (following-sibling::*[@checkable=""true"" and @checked=""true"" ])]   ''' , '''  //*[contains(@text, ""消息免打扰"")  and (following-sibling::*[@checkable=""true"" and @checked=""true"" ])]   ''' ,  ''' //*[contains(@text, ""有人吗"") and contains(@resource-id, ""id/chatting_content_tv"") ]  '''   ]}",,,,,,,,,,
,seeyou_long_0,seeyou,美柚,com.lingan.seeyou/.ui.activity.main.SeeyouActivity,记录,long-horizon,21,在美柚里面找到2025年8月8号，添加一个计划“生日”，日期为2025年8月8号，每年重复，提前1天的12点提醒,"{""xpath"": [''' //*[contains(@text, ""添加计划"") and contains(@resource-id, ""id/planned_item_title_tv"")] and //*[contains(@text, ""生日"") and contains(@resource-id, ""id/planned_item_et"")] and //*[contains(@text, ""日期"") ]  and //*[contains(@text, ""2025年8月8日"") ]  and //*[contains(@text, ""每年重复"") ]  and //*[contains(@text, ""提前1天 12:00"") ]  and //*[contains(@text, ""完成"") and bbox_contains_point(@bounds,$point) ]''']}",,,,,,,,,,
,seeyou_long_1,seeyou,美柚,com.lingan.seeyou/.ui.activity.main.SeeyouActivity,记录,long-horizon,22,在美柚里查找润肺止咳的帖子，浏览前5个帖子并依次关注它们的作者,"{""xpath"": ['''//*[contains(@text, ""润肺止咳"") and contains(@resource-id, ""id/act_search_title_edt"")] and //*[contains(@text, ""帖子"") ]''',''' //*[contains(@content-desc, ""已关注"") ]  ''', '''//*[contains(@text, ""润肺止咳"") and contains(@resource-id, ""id/act_search_title_edt"")] and //*[contains(@text, ""帖子"") ]''' ,''' //*[contains(@content-desc, ""已关注"") ]  ''', '''//*[contains(@text, ""润肺止咳"") and contains(@resource-id, ""id/act_search_title_edt"")] and //*[contains(@text, ""帖子"") ]''',''' //*[contains(@content-desc, ""已关注"") ]  ''', '''//*[contains(@text, ""润肺止咳"") and contains(@resource-id, ""id/act_search_title_edt"")] and //*[contains(@text, ""帖子"") ]''',''' //*[contains(@content-desc, ""已关注"") ]  ''', '''//*[contains(@text, ""润肺止咳"") and contains(@resource-id, ""id/act_search_title_edt"")] and //*[contains(@text, ""帖子"") ]''',''' //*[contains(@content-desc, ""已关注"") ]  ''' ]}",,,,,,,,,,
,seeyou_long_2,seeyou,美柚,com.lingan.seeyou/.ui.activity.main.SeeyouActivity,记录,long-horizon,21,在美柚里面找到2025年6月6号，填写我当天的症状为头痛、发烧、感冒，体温为38°C。,"{""xpath"": ['''//*[contains(@text, ""6月"") ] and  //*[contains(@text, ""症状"") ] and //*[contains(@text, ""头痛"") and contains(@text, ""发烧"") and contains(@text, ""感冒"") ] and //*[contains(@text, ""38.0℃"") ] ''' ]}",,,,,,,,,,
,seeyou_long_3,seeyou,美柚,com.lingan.seeyou/.ui.activity.main.SeeyouActivity,推荐,long-horizon,20,在美柚里面找到2025年7月7号，填写我当天的症状为失眠、食欲不振，体温为37.5°C，体重为44.8kg。,"{""xpath"": ['''//*[contains(@text, ""7月"") ] and  //*[contains(@text, ""症状"") ] and //*[contains(@text, ""失眠"") and contains(@text, ""食欲不振"") ] and //*[contains(@text, ""37.5℃"") ] and //*[contains(@text, ""44.80 公斤"") ] ''' ]}",,,,,,,,,,
,seeyou_long_4,seeyou,美柚,com.lingan.seeyou/.ui.activity.main.SeeyouActivity,记录,long-horizon,25,"在美柚里面分别添加2025年9月1号,2号,3号的体重为58.5kg，57.8kg和58.2kg","{""xpath"": ['''//*[contains(@text, ""9月"") ]  and //*[contains(@text, ""58.50 公斤"") ] ''', '''//*[contains(@text, ""9月"") ]  and //*[contains(@text, ""57.80 公斤"") ] ''','''//*[contains(@text, ""9月"") ]  and //*[contains(@text, ""58.20 公斤"") ] ''' ]}",,,,,,,,,,
