task_identifier,task_app,apk,task_app_CHN,adb_home_page,goal,functional_point,difficulty_level,golden_steps,key_nodes,Reset,reset_steps,reset_query,reset_xpath
zuoyebang_4,zuoyebang,zuoyebang_14.30.0.apk,作业帮,com.baidu.homework/.activity.init.InitActivity,去作业帮将我的地区和年级设置为合肥市初一,我的,hard,9,"{""xpath"": ['''//*[contains(@text, ""合肥市"") and contains(@class, ""TextView"")] and //*[contains(@text, ""初一"") and contains(@class, ""TextView"")] ''']}",Need,9,去作业帮将我的地区和年级设置为北京市新五年级。步骤如下：1. 打开作业帮，点击首页左上角的年级和地区按钮，在头像的右侧。2. 展开的弹窗中，选择年级，设置为“新五年级”。3. 再次点击首页左上角的年级和地区按钮，在头像的右侧。这次是为了设置地区 4. 点击弹窗左上角的地区选择功能，当前显示的是某个市。5. 在展开的选择地区弹窗中，点击页面中部的搜索框 6. 在搜索框中输入北京市 7. 选择北京市选项，完成任务。 按照以上步骤将我的地区和年级设置为北京市新五年级,"{""xpath"": ['''//*[contains(@text, ""北京市"") and contains(@class, ""TextView"")] and //*[contains(@text, ""五年级"") and contains(@class, ""TextView"")] ''']}"
wukong_0,wukong,wukong_13.0.0.apk,悟空浏览器,com.cat.readall/.activity.BrowserMainActivity,在悟空浏览器中查看天气预报,搜索,easy,4,"{""xpath"": ['''//*[contains(@text, ""天气"") and contains(@text, ""搜索"")] ''']}",Search,5,去悟空浏览器清除搜索历史。步骤如下：1. 打开悟空浏览器，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“是否清空搜索历史”的弹窗中，点击“确定”按钮。如果没有搜索历史那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""是否清空搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@text,  ""搜索框"")] and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
icredit_2,icredit,icredit_19.2.0.apk,企查查,com.android.icredit/.ui.SplashActivity,在企查查的查看腾讯的股东信息,搜索,hard,9,"{""xpath"": [ '''//*[contains(@text, ""腾讯"") and contains(@class, ""EditText"")] ''' ,  '''//*[@text=""股东信息"" and following-sibling::*[contains(@text, ""历史股东信息"")] ]''']}###{""xpath"": [ '''//*[contains(@text, ""腾讯"") and contains(@class, ""EditText"")] ''' , '''//*[@text=""股东""] and //*[@text=""人员""]''']}",Search,6,去企查查清空搜索历史。步骤如下：1. 打开企查查，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“删除全部”按钮。 4. 在弹出的“确定要删除全部搜索历史”的弹窗中，点击“删除”按钮。如果没有搜索历史那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""确定要删除全部搜索历史"")] and //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@class, ""EditText"") ] and //*[contains(@text, ""浏览历史"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
workschedule_0,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,在排班日历中设置当天19点的白班轮班闹钟,频道,hard,10,"{""xpath"": ['''//*[contains(@text, ""当天"")] and //*[contains(@text, ""班次"") and contains(@text, ""白班"")] and //*[contains(@content-desc, ""保存"") and bbox_contains_point(@bounds,$point)]''','''//*[contains(@text, ""19:00"") and contains(@text, ""白班"")] ''']}",Need,5,去排班日历删除一个闹钟。步骤如下：1. 打开排班日历，点击首页底部菜单中的闹钟按钮。2.在闹钟页中选择第一个闹钟并点击，进入编辑闹钟页面。3. 点击左下角的删除按钮，任务完成。按照以上步骤删除一个闹钟,"{""xpath"": [ '''//*[contains(@text, ""编辑闹钟"")] and //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@text, ""闹钟"")  and @selected=""true"" ]   and not (//*[contains(@text, ""暂无该班次"")] ) ''' ]}"
workschedule_1,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,关闭排班日历中的班次推送提醒,设置,easy,4,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""false"" and (parent::*[contains(@text, ""班次推送提醒"")])]''']}",Need,5,打开排班日历中的班次推送提醒。步骤如下：1. 打开排班日历，点击首页右下角菜单中的“我的”按钮。2.在“我的”页中点击设置按钮。3. 在设置页面里面，观察“班次推送提醒”右侧的滑块是否打开，点击滑块让它处于开启状态，完成任务。按照以上步骤打开排班日历中的班次推送提醒。,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""true"" and (parent::*[contains(@text, ""班次推送提醒"")])]''']}"
workschedule_2,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,在排班日历中将周一设置为每周首日,设置,medium,5,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""true"" and (parent::*[contains(@text, ""周一为每周首日"")])]''']}",Need,6,在排班日历中将关闭“周一为每周首日”的设置。步骤如下：1. 打开排班日历，点击首页右下角菜单中的“我的”按钮。2.在“我的”页中点击设置按钮。3. 在设置页面里面，点击日历显示设置按钮。 4. 观察“周一为每周首日”右侧的滑块，点击滑块让它处于关闭状态，完成任务。按照以上步骤关闭“周一为每周首日”的设置。,"{""xpath"": ['''//*[@checkable=""true"" and @checked=""false"" and (parent::*[contains(@text, ""周一为每周首日"")])]''']}"
workschedule_4,workschedule,workschedule_2.0.91.apk,排班日历,com.julanling.workschedule/com.workschedule.SplashActivity,在排班日历中设置工作日早上9点的闹铃,频道,hard,12,"{""xpath"": [ '''//*[contains(@text, ""普通闹钟"")  and bbox_contains_point(@bounds,$point) ] '''  , '''//*[contains(@text, ""工作日"")  and bbox_contains_point(@bounds,$point) ] '''  , '''//*[contains(@content-desc, ""保存"") and bbox_contains_point(@bounds,$point)]''']}",Need,5,去排班日历删除一个闹钟。步骤如下：1. 打开排班日历，点击首页底部菜单中的闹钟按钮。2.在闹钟页中选择第一个闹钟并点击，进入编辑闹钟页面。3. 点击左下角的删除按钮，任务完成。按照以上步骤删除一个闹钟,"{""xpath"": [ '''//*[contains(@text, ""编辑闹钟"")] and //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@class, ""闹钟"")  and @selected=""true"" ]   and not (//*[contains(@text, ""暂无该班次"")] ) ''' ]}"
kdweibo_2,kdweibo,kdweibo_10.8.12.apk,云之家,com.kdweibo.client/com.kdweibo.android.ui.activity.StartActivity,帮我修改云之家的工作状态为忙碌中,设置,medium,5,"{""xpath"": ['''//*[contains(@class, ""LinearLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""忙碌中"") and contains(@resource-id, ""id/contact_status_item_content"") ])]''']}",Need,5,将云之家的工作状态设置为出差中。步骤如下：1. 打开云之家，点击首页左上角的账号头像。2.在账号页中间有一个工作状态栏，位于“我的客服”上方，头像和用户名称下方，通常显示的是“添加你的工作状态”或者是“忙碌中”等，点击这个工作状态栏。3. 在工作状态栏中选择状态为无，任务完成。按照以上步骤将工作状态设置为出差中,"{""xpath"": ['''//*[contains(@class, ""LinearLayout"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""无"") and contains(@resource-id, ""id/contact_status_item_content"") ])]''']}###{""xpath"": [''' //*[ contains(@text, ""添加你的工作状态"")  and contains(@resource-id, ""id/mefragment_status_tv_content"") ]  ''' ]}"
mobilemcloud_1,mobilemcloud,mobilemcloud_12.1.0.apk,中国移动云盘,com.chinamobile.mcloud/.client.ui.logo.LogoActivity,我想在中国移动云盘上看《夺嫡》这本书，请帮我打开,搜索,medium,6,"{""xpath"": ['''//*[contains(@text, ""详情"") and contains(@resource-id, ""tv_small_routine_title_left"")]  and //*[contains(@text, ""夺嫡"")] and //*[contains(@text, ""开始阅读"")] ''']}",Search,6,去中国移动云盘清空搜索历史。步骤如下：1. 打开中国移动云盘，点击首页顶部的搜索框。2.在搜索页中的最近在搜那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3.  在弹出的“是否删除所有搜索历史记录”的弹窗中，点击“确认”按钮。如果没有搜索历史那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""是否删除所有搜索历史记录"")] and //*[contains(@text, ""确认"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@class, ""EditText"") ] and //*[contains(@text, ""搜索指定类型"")] and not(//*[contains(@text, ""最近在搜"")] ) ''' ]}"
camscanner_1,camscanner,camscanner_6.91.5.apk,扫描全能王,com.intsig.camscanner/.mainmenu.mainactivity.MainActivity,帮我打开扫描全能王的新消息通知,消息,hard,8,"{""xpath"": ['''//*[contains(@resource-id, ""id/checkbox"") and @checkable=""true"" and @checked=""true"" and preceding-sibling::*[contains(@text, ""新消息通知"")] ]''']}",Need,8,关闭扫描全能王的新消息通知。步骤如下：1. 打开扫描全能王，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 持续向“up”方向滑动，直到露出“更多设置”选项。3. 点击“更多设置”选项。 4. 在“更多设置”选项中，选中消息设置。5. 观察“新消息通知”右侧的滑块，点击滑块让它处于关闭状态，完成任务。按照以上步骤关闭扫描全能王的新消息通知,"{""xpath"": ['''//*[contains(@resource-id, ""id/checkbox"") and @checkable=""true"" and @checked=""false"" and preceding-sibling::*[contains(@text, ""新消息通知"")] ]''']}"
camscanner_4,camscanner,camscanner_6.91.5.apk,扫描全能王,com.intsig.camscanner/.mainmenu.mainactivity.MainActivity,在扫描全能王中将最近一个文档重命名为“临时文档1”,频道,hard,6,"{""xpath"": ['''//*[contains(@text, ""临时文档1"") and contains(@resource-id, ""id/tv_edit_doc_title"")] and //*[contains(@resource-id, ""id/tvConfirm"") and bbox_contains_point(@bounds,$point) ] ''']}",Need,6,在扫描全能王中将最近一个文档重命名为“文档A”。步骤如下：1. 打开扫描全能王，点击页面中部“最近文档”栏中的第一个文档，进入文档页面。 2. 点击页面顶部左侧的文档标题，重命名这个文档。3. 在文档标题弹窗中，输入“文档A”。 4. 点击确定按钮为文档重命名，完成任务。按照以上步骤将最近一个文档重命名为“文档A”,"{""xpath"": ['''//*[contains(@text, ""文档A"") and contains(@resource-id, ""id/tv_edit_doc_title"")]  ''']}"
fcatfreader_2,fcatfreader,fcatfreader_7.76.apk,七猫免费小说,com.kmxs.reader/com.km.app.home.view.LoadingActivity,去七猫免费小说关闭音量键翻页,设置,hard,6,"{""xpath"": ['''//*[contains(@text, ""音量键翻页"") and (following-sibling::*[contains(@class, ""Button"") and @checkable=""true"" and @checked=""false"" ]) ] ''']}",Need,6,去七猫免费小说打开音量键翻页。步骤如下：1. 打开七猫免费小说，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的齿轮状设置按钮，进入设置页。3. 点击“阅读设置”选项。 4. 在“阅读设置”选项中，观察“音量键翻页”右侧的滑块，点击滑块让它处于开启状态，完成任务。按照以上步骤打开音量键翻页,"{""xpath"": ['''//*[contains(@text, ""音量键翻页"") and (following-sibling::*[contains(@class, ""Button"") and @checkable=""true"" and @checked=""true"" ]) ] ''']}"
fcatfreader_3,fcatfreader,fcatfreader_7.76.apk,七猫免费小说,com.kmxs.reader/com.km.app.home.view.LoadingActivity,去七猫免费小说关闭个性化书籍推荐,设置,hard,8,"{""xpath"": ['''//*[contains(@text, ""个性化书籍推荐"")]  and //*[contains(@class, ""Button"") and @checkable=""true"" and @checked=""false"" ] and //*[contains(@text, ""隐私设置"") and contains(@resource-id, ""id/tb_center_name"")] ''']}",Need,7,去七猫免费小说打开个性化书籍推荐。步骤如下：1. 打开七猫免费小说，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的齿轮状设置按钮，进入设置页。3. 点击“隐私设置”选项。 4. 在“隐私设置”选项中，观察“个性化书籍推荐”右侧的滑块，点击滑块让它处于开启状态，完成任务。按照以上步骤打开个性化书籍推荐,"{""xpath"": ['''//*[contains(@text, ""个性化书籍推荐"")] and //*[contains(@class, ""Button"") and @checkable=""true"" and @checked=""true"" ] and  //*[contains(@text, ""隐私设置"") and contains(@resource-id, ""id/tb_center_name"")] ''']}"
jinjiang_4,jinjiang,jinjiang_6.6.7.apk,晋江小说阅读,com.jjwxc.reader/.AppPrivacyActivity,去晋江将主题色设置为黑白,设置,hard,8,"{""xpath"": ['''//*[contains(@text, ""主题"") and contains(@resource-id, ""id/btn_main_title"")] and //*[contains(@text, ""黑白"") and @checkable=""true"" and @checked=""true""] ''' ]}",Need,8,去晋江将主题色设为绿色。步骤如下：1. 打开晋江，点击首页右下角的“我的”按钮，进入个人中心页面。 2. 点击页面右上角的齿轮状设置按钮，进入设置页。3. 持续向“up”方向滑动，直到露出“主题色及日间/夜间方案切换”选项。4. 点击“主题色及日间/夜间方案切换”选项。 5. 在“主题效果”选项中，选中第一个绿色按钮，完成任务。按照以上步骤将主题色设为绿色,"{""xpath"": ['''//*[contains(@text, ""个性化书籍推荐"") and (following-sibling::*[contains(@class, ""Button"") and @checkable=""true"" and @checked=""true"" ]) ] and //*[contains(@text, ""隐私设置"") and contains(@resource-id, ""id/tb_center_name"")] ''']}"
qidian_0,qidian,qidian_7.9.417.apk,起点读书-看小说漫画读听书神器,com.qidian.QDReader/.ui.activity.SplashActivity,去起点打开诡秘之主,搜索,easy,6,"{""xpath"": ['''//*[contains(@text, ""诡秘之主"") and contains(@resource-id, ""id/booksview_activity_search_edittext"")]  ''' ]}",Search,6,去起点清空搜索历史。步骤如下：1. 打开起点，点击首页右上角的搜索按钮。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 如果没有搜索历史那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[ contains(@resource-id, ""id/booksview_activity_search_edittext"")]  and //*[contains(@text, ""全部删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@resource-id, ""id/booksview_activity_search_edittext"")] and //*[contains(@text, ""搜索"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
qidian_1,qidian,qidian_7.9.417.apk,起点读书-看小说漫画读听书神器,com.qidian.QDReader/.ui.activity.SplashActivity,去起点把绍宋加入书架,搜索,easy,6,"{""xpath"": ['''//*[contains(@text, ""绍宋"") and contains(@resource-id, ""id/booksview_activity_search_edittext"")]  ''', '''//*[contains(@text, ""已在书架"") ]  or //*[contains(@text, ""加入书架"") and bbox_contains_point(@bounds,$point) ] '''  ]}",Need,6,去起点清空书架。步骤如下：1. 打开起点，点击书架栏右侧的“管理”按钮。“管理”按钮位于页面中部右侧，在“综合排序”和“筛选”按钮的右边。2.在书架管理页的左下角，有一个可选中的“全选本分组”元素，点击这个元素左侧的圆形确认框，全选这个分组。3. 点击页面右下角的删除按钮。4. 在确认删除的弹窗中，点击“确认删除”按钮。 如果没有搜索历史那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""删除已选"")] and //*[contains(@text, ""确认删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[contains(@text, ""所有的作品都分好组"")] and //*[contains(@text, ""书架管理"")]  ''' ]}"
qidian_3,qidian,qidian_7.9.417.apk,起点读书-看小说漫画读听书神器,com.qidian.QDReader/.ui.activity.SplashActivity,去起点将我的阅读偏好设置为男生武侠,设置,hard,9,"{""xpath"": ['''//*[contains(@content-desc, ""阅读偏好"")]  and //*[contains(@content-desc, ""武侠"")] and //*[contains(@content-desc, ""男生"") and @selected=""true"" ]  ''' ]}",Need,9,去起点将我的阅读偏好设置为女生古代言情。步骤如下：1. 打开起点，点击首页右下角的“我”按钮，进入个人中心页面。 2. 点击页面左上角的设置按钮，进入设置页。3. 点击“偏好设置”选项。 4. 页面中出现武侠按钮，点击按钮左上角的×号 5. 点击女生按钮。 6. 在“喜欢的标签”选项中，点击“点击添加”按钮。 7. 选择“古代言情”按钮。 8. 点击保存，完成任务。按照以上步骤将主题色设为女生古代言情,"{""xpath"": ['''//*[contains(@content-desc, ""阅读偏好"")]  and //*[contains(@content-desc, ""古代言情"")] and //*[contains(@content-desc, ""女生"") and @selected=""true"" ]  ''' ]}"
qidian_4,qidian,qidian_7.9.417.apk,起点读书-看小说漫画读听书神器,com.qidian.QDReader/.ui.activity.SplashActivity,去起点关闭音量键翻页,设置,hard,6,"{""xpath"": [''' //*[contains(@text, ""音量键翻页"")] and //*[contains(resource-id, ""id/scKeyPage"") and @checkable=""true"" and @checked=""false""] ''' ]}",Need,6,去起点打开音量键翻页。步骤如下：1. 打开起点，点击首页右下角的“我”按钮，进入个人中心页面。 2. 点击页面左上角的设置按钮，进入设置页。3. 点击“阅读设置”选项。 4. 观察“音量键翻页”右侧的滑块，点击滑块让它处于开启状态，完成任务。按照以上步骤打开音量键翻页,"{""xpath"": [''' //*[contains(@text, ""音量键翻页"")] and //*[contains(@resource-id, ""id/scKeyPage"") and @checkable=""true"" and @checked=""true""] ''' ]}"
smart360_1,smart360,smart360_2.12.1.apk,360智慧生活,com.qihoo.smart/com.qihoo.main.defaultSplash,在360智慧生活中把一个32G的360智能摄像头加入购物车,搜索,hard,8,"{""xpath"": ['''//*[contains(@text, ""360智能摄像头"") and contains(@resource-id, ""common_headview_title"")]''',  '''//*[contains(@text, ""已选"") and contains(@text, ""32G"")]  and //*[contains(@class, ""widget.Button"")  and contains(@text, ""加入购物车"") and bbox_contains_point(@bounds,$point)  ]''']}",Search,8,在360智慧生活中清空购物车。步骤如下：1. 打开360智慧生活，点击首页底部菜单中的“商城”按钮，进入商城页面。 2. 点击页面右上角的购物车按钮，进入购物车页。3. 点击页面右上角的编辑按钮。 4. 观察页面左下角“全选”左侧圆形的选中框，点击圆形框让它处于选中状态。 5. 点击页面右下角的删除按钮。 6. 在“确定删除”弹窗中点击确认，完成任务。按照以上步骤清空购物车,"{""xpath"": [ '''//*[contains(@text, ""全选"")] and //*[contains(@text, ""删除"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[contains(@text, ""购物车"")] and not(//*[contains(@text, ""结算"")] ) ''' ]}"
zhipuai_0,zhipuai,zhipuai_3.1.3.apk,智谱清言,com.zhipuai.qingyan/.MainActivity,将智谱清言的外观设置为亮色,设置,hard,7,"{""xpath"": ['''//*[contains(@resource-id, ""darkmode"")  and bbox_contains_point(@bounds,$point) and (child::*[contains(@text, ""外观"")])]''', '''//*[contains(@text, ""亮色"")]''' ]}",Need,7,将智谱清言的外观设置为暗色。步骤如下：1. 打开智谱清言，点击首页左上角的三条横线状的设置按钮，进入个人中心页面。 2. 点击页面左上角的用户名称，进入用户设置页。3. 点击“外观设置”选项。 4. 在“外观设置”选项中，选中“暗色”模式，完成任务。按照以上步骤将外观设置为暗色,"{""xpath"": ['''//*[contains(@resource-id, ""darkmode"") and (child::*[contains(@text, ""外观"")])  and (child::*[contains(@text, ""暗色"")]) ]''', '''//*[contains(@text, ""亮色"")]''' ]}###{""xpath"": ['''  //*[contains(@text, ""外观设置"")] and //*[contains(@text, ""亮色"")] and //*[contains(@text, ""暗色"")] ''' ]}"
cbn_3,cbn,cbn_2.0.2.apk,中国广电,com.ai.obc.cbn.app/.ui.other.activity.SplashActivity,把中国广电“号卡专区”位置改为山西省太原市,频道,hard,7,"{""xpath"": ['''//*[contains(@text, ""号卡专区"") and contains(@class, ""TextView"")] and  //*[contains(@text, ""太原市"") and contains(@class, ""TextView"")]  ''']}",Need,7,把中国广电“号卡专区”位置改为北京市。步骤如下：1. 打开中国广电，点击首页底部菜单栏中的“号卡专区”按钮，进入号卡专区页面。 2. 点击页面左上角的城市名称，进入号码归属设置页。3. 向“up”滑动弹窗左侧的省列表，直到页面中出现北京市。 4.点击北京市按钮 5. 点击确认按钮，完成任务。按照以上步骤将“号卡专区”位置改为北京市,"{""xpath"": ['''//*[contains(@text, ""号卡专区"") and contains(@class, ""TextView"")] and  //*[contains(@text, ""北京市"") and contains(@class, ""TextView"")]  ''']}"
newhope_0,newhope,newhope_4.0.6.apk,有我看家,com.hopeway.cam.newhope/com.hw.NewEntranceActivity,打开有我看家的接收警报通知,设置,medium,5,"{""xpath"": ['''//*[contains(@resource-id, ""switch_alarm"") and @checkable=""true"" and @checked=""true"" and (preceding-sibling::*[contains(@text, ""接收报警通知"")])]''']}###{""xpath"": ['''//*[contains(@resource-id, ""tv_permission_title"") and contains(@text, ""允许通知"") and (preceding-sibling::*[contains(@text, ""已开启"")])]''']}",Need,5,关闭有我看家的接收警报通知。步骤如下：1. 打开有我看家，点击首页右上角的“我”按钮，进入个人中心页面。 2. 点击“APP设置”选项。 3. 在设置页面中，观察“接收警报通知”右侧的滑块是否关闭，点击滑块让它处于关闭状态，完成任务。按照以上步骤关闭有我看家的接收警报通知,"{""xpath"": ['''//*[contains(@resource-id, ""switch_alarm"") and @checkable=""true"" and @checked=""false"" and (preceding-sibling::*[contains(@text, ""接收报警通知"")])]''']}###{""xpath"": ['''//*[contains(@resource-id, ""tv_permission_title"") and contains(@text, ""允许通知"") and (preceding-sibling::*[contains(@text, ""已关闭"")])]''']}"
vipshop_2,vipshop,vipshop_9.53.7.apk,唯品会,com.achievo.vipshop/.activity.LodingActivity,我想看一下唯品会里爱国者照相机,搜索,hard,8,"{""xpath"": ['''//*[contains(@content-desc, ""照相机"") and contains(@content-desc, ""搜索"") and contains(@resource-id,""com.achievo.vipshop:id/button"")] and (//*[contains(@content-desc, ""爱国者"") and contains(@resource-id,""com.achievo.vipshop:id/button"")] or //*[contains(@text, ""爱国者"") and contains(@class,""android.widget.TextView"")])''']}",Search,6,去唯品会清空搜索记录。步骤如下：1. 打开唯品会，点击首页顶部的搜索框。2.在搜索页中的历史搜索那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“确定删除全部搜索历史”的弹窗中，点击“确定”按钮。如果没有历史搜索那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""确认删除全部搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[ contains(@class, ""EditText"") ] and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""历史搜索"")] ) ''' ]}"
youpin_0,youpin,youpin_5.31.0.apk,小米有品,com.xiaomi.youpin/.activity.SplashActivity,在小米有品中把12GB+256GB黑色小米15手机加入到购物车,搜索,hard,8,"{""xpath"": ['''//*[contains(@text, ""已选"") and contains(@text, ""+256"") and contains(@text, ""12"") and contains(@text, ""黑"")]  and //*[contains(@class, ""ViewGroup"")  and bbox_contains_point(@bounds,$point) and (descendant::*[contains(@text, ""确定"")])]''']}",Search,6,去小米有品清空搜索记录。步骤如下：1. 打开小米有品，点击首页顶部的搜索框。2.在搜索页中的历史搜索那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在展开项目中，点击“全部删除”按钮。 4. 在弹出的“确定清空历史搜索”的弹窗中，点击“确定”按钮。如果没有历史搜索那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""确定清空历史搜索"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[contains(@text, ""搜索"")] and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""历史搜索"")] ) ''' ]}"
yonghui_0,yonghui,yonghui_11.6.0.1.apk,永辉生活,cn.yonghui.hyd/.DefaultAlias,在永辉生活中帮我把“乐事番茄味薯片”加入购物车,搜索,medium,5,"{""xpath"": ['''//*[contains(@text, ""乐事"") and contains(@text, ""番茄"") and contains(@resource-id, ""title_name"")] and //*[(contains(@resource-id, ""add_cart"") or contains(@resource-id, ""AddCart"") ) and bbox_contains_point(@bounds,$point)]''']}",Search,,去永辉生活清空搜索记录。步骤如下：1. 打开永辉生活，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在弹出的“将清空搜索历史”的弹窗中，点击“清空”按钮。如果没有搜索历史那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""将清空搜索历史"")] and //*[contains(@text, ""清空"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[contains(@resource-id, ""id/search_value"")] and //*[contains(@text, ""搜索"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
vmall_4,vmall,vmall_1.25.5.300.apk,华为商城,com.vmall.client/.splash.fragment.SplashActivity,在华为商城中把1TB黑色Mate 70手机加入到购物车,搜索,hard,8,"{""xpath"": ['''//*[contains(@text, ""已选"") and contains(@text, ""1TB"") and contains(@text, ""黑"")] and //*[contains(@text, ""Mate 70"")]  and //*[contains(@class, ""ViewGroup"") and contains(@content-desc, ""加入购物车"") and bbox_contains_point(@bounds,$point) ]''']}",Search,,去华为商城清空搜索记录。步骤如下：1. 打开华为商城，点击首页顶部的搜索框。2.在搜索页中的最近搜索那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。按照以上步骤清空搜索历史,"{""xpath"": [''' //*[contains(@resource-id, ""vui_searchbar_input"")] and //*[contains(@text, ""搜索"")] and not(//*[contains(@text, ""最近搜索"")] ) ''' ]}"
xiaomishop_0,xiaomishop,xiaomishop_5.41.0.apk,小米商城,com.xiaomi.shop/.activity.MainTabActivity,去小米商城打开小米手环10的商品页,搜索,easy,5,"{""xpath"": ['''//*[contains(@text, ""小米手环10"")]  and //*[contains(@text, ""加入购物车"")]  and //*[contains(@text, ""立即购买"")]  ''' ]}",Search,,去小米商城清空搜索记录。步骤如下：1. 打开小米商城，点击首页顶部的搜索框。2.在搜索页中的搜索历史那一栏右侧有一个垃圾桶按钮，这代表着清空搜索记录，点击这个垃圾桶按钮。3. 在弹出的“是否删除全部搜索历史”的弹窗中，点击“确定”按钮。如果没有历史搜索那一栏，视为任务完成。按照以上步骤清空搜索历史,"{""xpath"": [ '''//*[contains(@text, ""是否删除全部搜索历史"")] and //*[contains(@text, ""确定"") and bbox_contains_point(@bounds,$point) ] ''' ]} ###{""xpath"": [''' //*[contains(@text, ""搜索"")] and //*[contains(@text, ""猜你想搜"")] and not(//*[contains(@text, ""搜索历史"")] ) ''' ]}"
